sample_component,celltype_l2,celltype_l1
Resting_PBMC_82c6f1502ceb578c,CD56dim NK,NK
Resting_PBMC_9524c5af1f13409e,CD56dim NK,NK
Resting_PBMC_1a72fb4c1ebd3edf,CD4 TCM,CD4 T
Resting_PBMC_791355c983aed829,Platelets,Platelets
Resting_PBMC_81415c5542195eff,Naive CD4 T,CD4 T
Resting_PBMC_5ba613cb25de4e5c,Naive CD4 T,CD4 T
Resting_PBMC_5e08b1ef86b8a4c9,Naive CD8 T,CD8 T
Resting_PBMC_ef963c459c4a8cd6,CD56dim NK,NK
Resting_PBMC_89d045aeb08b3401,CD8 TEM,CD8 T
Resting_PBMC_ce389cbfa22fcb90,Platelets,Platelets
Resting_PBMC_db51500e5c6b5b05,CD56dim NK,NK
Resting_PBMC_cedcccd30eeb464f,gdT,Other T
Resting_PBMC_a4a1cd8a923f7cf6,Classical Mono,Mono
Resting_PBMC_e098ef6feac81d25,CD56dim NK,NK
Resting_PBMC_0a7589f4f9d36d5b,Platelets,Platelets
Resting_PBMC_a7c1fec8958d6b5d,Platelets,Platelets
Resting_PBMC_3f18755c000c04df,CD8 TCM,CD8 T
Resting_PBMC_fbe8d27ee3fe34df,CD4 TCM,CD4 T
Resting_PBMC_62b40a2e93e73cfb,Classical Mono,Mono
Resting_PBMC_89b01bb4f96cb691,Naive CD4 T,CD4 T
Resting_PBMC_a70e33aebc50b631,gdT,Other T
Resting_PBMC_105a4b0198923e06,CD4 TCM,CD4 T
Resting_PBMC_08d99658f75a10f6,Naive CD4 T,CD4 T
Resting_PBMC_dce5cb1836cf78b2,CD4 TCM,CD4 T
Resting_PBMC_03caf4720b1cbba6,CD4 TCM,CD4 T
Resting_PBMC_e96133e5c8049377,CD4 TCM,CD4 T
Resting_PBMC_07cee6f5ef23f7f3,Treg,CD4 T
Resting_PBMC_8cf652a83ab0c58d,Platelets,Platelets
Resting_PBMC_06a04a1cbcb9d1e1,CD4 TCM,CD4 T
Resting_PBMC_58f2558c99e6aa45,CD4 TCM,CD4 T
Resting_PBMC_7eb8dd6197de28be,CD4 TCM,CD4 T
Resting_PBMC_9e19e7eab6e918c9,CD4 TCM,CD4 T
Resting_PBMC_b544d5479f73a4b3,CD8 TEM,CD8 T
Resting_PBMC_41b3793d6151af97,CD56dim NK,NK
Resting_PBMC_005b3d3e5db250a1,Classical Mono,Mono
Resting_PBMC_2a82e855aeac3568,Treg,CD4 T
Resting_PBMC_6334b6a78f3d6a7c,Naive B,B
Resting_PBMC_e10969104ade215f,CD4 TCM,CD4 T
Resting_PBMC_d233f6ae7fd432b7,MAIT,Other T
Resting_PBMC_c5869ad6dd5749a7,CD4 TCM,CD4 T
Resting_PBMC_579ab5850378ecbc,CD4 TCM,CD4 T
Resting_PBMC_d13c0666c5c81299,CD4 TEM,CD4 T
Resting_PBMC_faf1d70e18f6515a,Naive CD4 T,CD4 T
Resting_PBMC_e8e8aba5f11cc75b,Naive CD4 T,CD4 T
Resting_PBMC_7379c05389f1f536,CD4 TEM,CD4 T
Resting_PBMC_29612aafa030f1a7,Classical Mono,Mono
Resting_PBMC_d2483b25fa2c4e6e,CD56dim NK,NK
Resting_PBMC_ae56e68e889a9499,Naive CD4 T,CD4 T
Resting_PBMC_8003ad353d99da60,cDC1,DC
Resting_PBMC_c64754cf575e7bbd,MAIT,Other T
Resting_PBMC_e6318d19b40e8f8e,CD4 TCM,CD4 T
Resting_PBMC_d5dea82b6cc8e806,CD4 TCM,CD4 T
Resting_PBMC_e83cdceb77844f19,CD8 TCM,CD8 T
Resting_PBMC_de480e7893e5a764,Classical Mono,Mono
Resting_PBMC_0114ed63c699d521,Naive CD8 T,CD8 T
Resting_PBMC_46a7be6209f03c6c,CD4 TCM,CD4 T
Resting_PBMC_3f316f30dae3906e,CD8 TCM,CD8 T
Resting_PBMC_6b2871657f59109a,CD4 TCM,CD4 T
Resting_PBMC_66c11fab1f632b17,Naive CD4 T,CD4 T
Resting_PBMC_7ad1e427d9d0fa39,Classical Mono,Mono
