sample_component,HLA-ABC,B2M,CD11b,CD11c,CD18,CD82,CD8,TCRab,HLA-DR,CD45,CD14,CD16,CD19,mIgG1,CD45RB,CD44,CD52,CD59,CD45RA,CD36,CD2,CD29,CD5,CD162,CD27,CR1,CD26,CD49d,CD37,CD41,CD20,CD64,CD22,PD-L1 ,Siglec-7,CD25,PD-1,NKp46,mIgG2a,mIgG2b,CTLA-4,CD86,CD13,ADAM10,KIR2DL1,KIR2DL2/DL3,NKG2A,NKG2C,CD163,CD169,CD1a,CD1c,CD206,DNAM-1,PD-L2,CD28,SLAMF6,CD45RO,CD49e,CD56,CD79a,CD80,CD81,LILRB1,CD93,IgD,IgE,IgM,KLRG1,NKp80,TCRgd,CD10,CD103,CCR9,CD1b,CD21,TALLA,CD277,LAIR1,CD371,CD89,CD90,CD70,GPR56,HLA-DQ,TCRVd2,HLA-DR-DP-DQ,Siglec-9,TCRVa7.2,Fas,TCRVg9,CD127,CD141,CD31,CD6,CD57,CD73,TIM-3,GITR,CCR3,SLAMF7,TIGIT,OX40,ICAM-2,CD123,CD150,CD40L,KIR,CD161,CD180,CCR1,CCR2,CD1d,CD200,Ly9,CD24,2B4,BAFF-R,ICOS,CD32,CD33,NKp30,CD38,CD39,CD40,CD48,ICAM-3,CD55,CD58,CD62P,CD69,CD72,CD84,CD9,CD94,TCRVb5,CD3e,CD4,CD11a,CD43,CD7,CD53,CD302,VISTA,BCMA,CD138,4-1BB,CD66b,CX3CR1,EpCAM,DC-SIGN,CD34,Dectin-1,ICAM-1,CD71,CD47,c-Kit,NKG2D
Resting_PBMC_82c6f1502ceb578c,1294,2002,5,3,132,1,11,7,2,1553,0,131,0,1,728,748,52,115,2492,5,8,76,12,1357,4,1,3,59,4,6,0,1,3,1,462,0,1,207,3,1,1,0,5,293,0,125,40,1,1,1,0,0,0,46,3,5,252,5,84,23,2,1,211,8,4,2,5,5,131,26,0,0,2,4,0,5,3,8,82,3,1,0,0,201,2,1,12,7,2,3,0,5,1,3,7,5,1,29,35,1,16,29,0,1379,3,3,0,182,7,1,0,4,3,0,17,1,404,1,2,9,6,149,279,1,4,151,482,5,84,0,4,2,3,10,226,1,13,0,109,7785,175,95,0,9,1,1,1,1,8,1,1,0,1,36,0,72,3,4
Resting_PBMC_9524c5af1f13409e,2191,4690,3,6,295,5,4,0,6,1931,0,248,2,1,496,822,10,163,3369,21,7,63,7,614,6,1,4,135,24,4,5,2,5,2,1218,0,0,88,2,2,2,1,4,236,3,1,226,0,6,1,3,0,0,136,4,3,180,8,63,62,1,2,77,59,5,5,1,0,328,58,0,1,0,1,2,0,0,16,145,6,1,1,2,279,2,1,32,5,2,2,0,0,4,6,36,10,0,17,25,0,52,29,0,1043,4,2,2,1,16,1,6,3,2,2,1,2,476,1,1,7,1,267,462,2,45,271,471,20,102,2,3,7,5,6,513,4,5,0,345,5209,128,73,0,8,0,0,0,1,19,1,1,4,4,43,2,122,3,74
Resting_PBMC_1a72fb4c1ebd3edf,1368,3990,1,2,310,1717,6,72,5,2098,1,4,1,1,1363,13364,809,1236,47,11,1402,475,256,862,1227,5,582,239,21,8,1,6,2,2,1,51,5,5,6,0,3,0,5,269,1,11,1,2,0,3,2,2,1,144,14,23,268,258,108,2,1,1,402,1,4,2,0,4,312,1,0,3,2,8,1,2,0,50,12,5,2,0,0,0,4,2,20,0,0,23,0,306,0,0,150,1,3,8,130,0,5,0,6,1604,0,433,1,1,2,2,3,123,1,1,96,9,2,2,2,3,2,6,3,2,3,340,458,97,100,1,3,0,147,3,0,3,885,338,309,3995,8,102,1,3,11,1,1,0,1,1,2,3,2,155,2,83,4,2
Resting_PBMC_791355c983aed829,17911,21774,3,12,18,1661,29,7,12,124,23,12,10,9,12,61,29,377,17,6228,13,3618,6,21,17,7,26,17,240,32157,11,13,20,45,11,7,6,14,17,10,11,1,14,1291,8,24,6,6,9,14,12,10,4,1601,47,11,11,31,256,6,13,24,28,12,25,19,14,204,7,5,5,9,4,66,7,10,11,18,5,25,14,20,7,68,8,6,43,13,5,16,8,17,16,444,8,10,11,11,34,7,36,13,8,6866,6,7,32,12,7,3,16,23,3,7,28,8,18,3,9,63,18,4,39,5,532,14,16,827,417,531,374,9,1532,3361,5,31,28,2,7,99,33,13,18,73,18,7,2,7,34,2,4,30,5,3,29,603,12,7
Resting_PBMC_81415c5542195eff,1368,2357,2,0,146,25,1,10,2,2464,1,0,1,1,1766,5553,1399,3342,1151,17,589,50,2090,96,1086,3,243,23,4,10,1,0,0,5,2,0,0,4,8,2,6,1,2,101,0,1,1,2,2,0,2,1,2,28,12,11,107,22,17,0,0,1,145,5,2,2,0,0,46,0,1,1,0,8,2,25,1,51,112,4,2,2,2,0,0,0,8,0,4,1,1,346,4,16,580,2,4,15,35,1,6,5,3,85,0,95,1,1,1,1,2,3,2,1,9,1,3,0,5,4,1,2,102,5,11,745,314,354,23,0,7,1,43,7,1,3,593,411,133,1553,161,7,2,3,4,1,2,2,0,1,0,1,2,2,2,199,1,1
Resting_PBMC_5ba613cb25de4e5c,1482,2341,10,15,180,35,23,193,11,2306,8,16,6,2,1391,3700,3841,1236,942,40,535,38,1233,239,762,18,164,131,22,16,5,15,6,18,6,16,3,1,3,2,9,5,14,183,2,6,9,0,18,5,3,4,2,9,23,25,129,35,35,8,3,2,146,7,16,9,3,11,111,1,13,2,15,16,3,3,5,44,95,17,8,7,0,5,9,2,41,32,3,11,4,184,14,3,532,1,22,17,43,4,17,14,2,298,6,68,6,10,2,8,2,19,0,16,161,4,8,4,6,6,16,3,283,4,22,606,227,173,33,12,5,0,27,20,3,5,4073,522,151,834,166,59,12,11,7,3,2,5,2,1,9,4,7,9,8,160,10,4
Resting_PBMC_5e08b1ef86b8a4c9,1252,2858,1,2,108,27,3390,97,0,1377,0,1,1,2,1142,2716,446,904,1762,4,614,15,651,197,651,2,144,42,11,10,3,2,2,3,2,0,0,2,2,2,1,1,0,84,1,4,0,1,1,0,1,1,0,4,10,2,115,4,19,0,0,0,45,3,2,6,1,3,1,2,0,0,1,4,0,12,1,36,66,0,0,2,2,0,2,0,8,3,5,2,0,138,0,19,212,0,138,3,13,0,0,7,0,487,1,2,1,2,4,0,3,0,2,0,3,6,0,2,2,1,0,0,17,0,2,411,233,521,14,1,1,0,31,6,0,2,1049,5,113,1028,147,8,3,0,0,1,2,2,5,0,0,4,0,2,2,43,0,37
Resting_PBMC_ef963c459c4a8cd6,942,1767,6,15,95,15,477,6,1,976,0,304,4,1,394,701,105,340,988,8,864,53,11,978,1,0,2,96,14,9,1,3,1,2,1104,0,1,74,6,2,2,1,4,326,102,2,16,0,1,0,1,0,1,160,3,2,499,3,93,27,0,1,152,4,3,6,0,2,55,37,2,0,0,2,5,5,0,65,139,12,2,2,0,309,0,1,12,2,0,4,2,1,0,3,31,3,3,67,4,1,23,12,0,1424,0,2,0,459,21,3,13,3,0,0,8,2,377,2,1,9,3,274,427,1,26,186,342,54,101,4,3,6,5,6,98,2,14,0,118,2954,244,89,0,2,3,1,0,2,21,0,2,2,3,46,3,102,0,44
Resting_PBMC_89d045aeb08b3401,2046,4187,17,20,376,271,2872,95,25,2447,6,28,6,1,153,10283,281,547,87,97,1072,146,1442,576,133,33,11,211,21,51,2,12,0,6,14,7,21,6,7,5,5,1,11,113,1,16,12,1,5,3,1,1,2,47,16,22,358,1274,48,5,2,0,377,9,14,8,4,34,279,5,2,4,1,11,3,9,6,21,21,21,18,2,2,32,14,1,314,43,3,24,0,19,9,18,527,1,12,4,95,1,28,63,2,341,4,427,3,8,5,10,17,53,3,4,105,19,189,8,3,19,31,5,14,23,30,162,602,60,86,23,5,9,194,100,4,4,492,16,378,3238,32,64,5,7,3,3,1,3,4,1,1,5,7,194,3,60,6,57
Resting_PBMC_ce389cbfa22fcb90,9771,11606,5,5,3,138,2,2,7,66,2,46,0,1,4,29,11,88,8,5419,2,2210,4,4,5,6,7,7,28,18486,2,1,1,17,4,0,0,2,10,4,4,3,5,367,2,3,2,0,1,1,0,2,0,414,19,1,10,26,139,0,2,4,7,1,3,0,1,6,4,0,2,0,1,10,1,5,2,0,4,4,1,0,2,26,2,1,22,4,1,1,2,4,10,70,3,2,7,2,6,0,7,2,1,1837,3,5,1,2,1,1,3,16,0,2,2,4,30,2,3,12,3,1,4,5,184,4,4,175,55,67,84,7,541,1194,1,3,4,2,6,33,9,10,1,3,4,0,0,4,3,1,0,12,0,4,17,113,3,1
